Gene,Statistic,Percentage,Cell Types
DDX17,0 out of 24,0.00%,
DDX18,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
DDX21,1 out of 24,4.17%,Microglia 1
DDX23,1 out of 24,4.17%,Astrocytes microglia 23
DDX24,4 out of 24,16.67%,DA like neurons 11; GABA neurons expressing GABA receptors 13; GABA like neurons 14; Oligodendrocytes 10
DDX25,0 out of 24,0.00%,
DDX27,0 out of 24,0.00%,
DDX31,0 out of 24,0.00%,
DDX39A,0 out of 24,0.00%,
DDX3X,0 out of 24,0.00%,
DDX3Y,0 out of 24,0.00%,
DDX42,0 out of 24,0.00%,
DDX46,0 out of 24,0.00%,
DDX49,1 out of 24,4.17%,Astrocytes microglia 23
DDX5,1 out of 24,4.17%,Astrocytes 5
DDX50,0 out of 24,0.00%,
DDX51,0 out of 24,0.00%,
DDX52,1 out of 24,4.17%,Connective tissue cells 21
DDX55,0 out of 24,0.00%,
DDX56,0 out of 24,0.00%,
DDX58,0 out of 24,0.00%,
DDX59,0 out of 24,0.00%,
DDX6,0 out of 24,0.00%,
DDX60,0 out of 24,0.00%,
DDX60L,0 out of 24,0.00%,
DEAF1,0 out of 24,0.00%,
DECR1,1 out of 24,4.17%,Oligodendrocytes 20
DEDD2,0 out of 24,0.00%,
DEF6,0 out of 24,0.00%,
DEF8,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
DEGS1,0 out of 24,0.00%,
DEGS2,0 out of 24,0.00%,
DEK,0 out of 24,0.00%,
DELE1,1 out of 24,4.17%,Connective tissue cells 21
DENND1A,3 out of 24,12.50%,Endothelial cells 9; Oligodendrocytes 10; GABA like neurons 14
DENND1B,0 out of 24,0.00%,
DENND1C,0 out of 24,0.00%,
DENND2A,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
DENND2C,0 out of 24,0.00%,
DENND2D,0 out of 24,0.00%,
DENND3,1 out of 24,4.17%,T cells 18
DENND4A,3 out of 24,12.50%,Oligodendrocytes 10; Oligodendrocytes 3; T cells 18
DENND4B,0 out of 24,0.00%,
DENND4C,2 out of 24,8.33%,Microglia 1; Microglia 19
DENND5A,0 out of 24,0.00%,
DENND5B,0 out of 24,0.00%,
DENND6A,0 out of 24,0.00%,
DENND6A-AS1,0 out of 24,0.00%,
DENND6B,1 out of 24,4.17%,Astrocytes microglia 23
DENR,0 out of 24,0.00%,
DEPP1,1 out of 24,4.17%,Astrocytes 8
DEPTOR,3 out of 24,12.50%,Oligodendrocytes 20; Microglia 1; Oligodendrocytes 2
DERA,0 out of 24,0.00%,
DERL1,0 out of 24,0.00%,
DERL2,0 out of 24,0.00%,
DESI1,1 out of 24,4.17%,Astrocytes microglia 23
DESI2,0 out of 24,0.00%,
DET1,0 out of 24,0.00%,
DEXI,0 out of 24,0.00%,
DFFA,0 out of 24,0.00%,
DFFB,0 out of 24,0.00%,
DGAT1,1 out of 24,4.17%,Astrocytes microglia 23
DGCR2,0 out of 24,0.00%,
DGCR6L,0 out of 24,0.00%,
DGCR8,0 out of 24,0.00%,
DGKA,0 out of 24,0.00%,
DGKB,4 out of 24,16.67%,Endothelial cells 9; Astrocytes 4; Astrocytes 5; Astrocytes 15
DGKD,2 out of 24,8.33%,Microglia 1; Microglia 19
DGKE,1 out of 24,4.17%,Astrocytes microglia 23
DGKG,3 out of 24,12.50%,Astrocytes 5; GABA like neurons 14; Astrocytes 15
DGKH,2 out of 24,8.33%,Astrocytes microglia 23; Connective tissue cells 21
DGKI,3 out of 24,12.50%,Astrocytes 8; Astrocytes 4; Astrocytes 5
DGKQ,0 out of 24,0.00%,
DGKZ,2 out of 24,8.33%,Oligodendrocytes 16; Connective tissue cells 21
DGLUCY,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
DGUOK,0 out of 24,0.00%,
DHCR24,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
DHCR7,0 out of 24,0.00%,
DHDDS,1 out of 24,4.17%,GABA like neurons 14
DHFR,1 out of 24,4.17%,GABA neurons expressing GABA receptors 13
DHRS13,0 out of 24,0.00%,
DHRS3,0 out of 24,0.00%,
DHRS4-AS1,0 out of 24,0.00%,
DHRS4L2,0 out of 24,0.00%,
DHRS7,1 out of 24,4.17%,Astrocytes microglia 23
DHRS7B,0 out of 24,0.00%,
DHRSX,0 out of 24,0.00%,
DHTKD1,0 out of 24,0.00%,
DHX15,0 out of 24,0.00%,
DHX29,0 out of 24,0.00%,
DHX30,0 out of 24,0.00%,
DHX32,0 out of 24,0.00%,
DHX34,0 out of 24,0.00%,
DHX35,0 out of 24,0.00%,
DHX36,0 out of 24,0.00%,
DHX38,0 out of 24,0.00%,
DHX40,0 out of 24,0.00%,
DHX57,0 out of 24,0.00%,
DHX8,0 out of 24,0.00%,
DHX9,0 out of 24,0.00%,
DIAPH1,2 out of 24,8.33%,GABA like neurons 14; Microglia 19
DIAPH2,2 out of 24,8.33%,Oligodendrocytes 10; Oligodendrocytes 16
DIAPH2-AS1,0 out of 24,0.00%,
DIAPH3,0 out of 24,0.00%,
DICER1,1 out of 24,4.17%,T cells 18
DICER1-AS1,0 out of 24,0.00%,
DIDO1,0 out of 24,0.00%,
DIO2,0 out of 24,0.00%,
DIO3OS,1 out of 24,4.17%,Connective tissue cells 21
DIP2A,1 out of 24,4.17%,T cells 18
DIP2B,0 out of 24,0.00%,
DIP2C,3 out of 24,12.50%,GABA neurons expressing GABA receptors 13; Oligodendrocytes 3; Microglia 19
DIRAS1,0 out of 24,0.00%,
DIRAS2,0 out of 24,0.00%,
DIRC2,1 out of 24,4.17%,Oligodendrocytes 16
DIRC3,1 out of 24,4.17%,GABA like neurons 14
DIRC3-AS1,0 out of 24,0.00%,
DIS3,1 out of 24,4.17%,Connective tissue cells 21
DIS3L,0 out of 24,0.00%,
DIS3L2,0 out of 24,0.00%,
DISC1,3 out of 24,12.50%,Oligodendrocytes 10; Oligodendrocytes 3; Oligodendrocytes 0
DISP2,0 out of 24,0.00%,
DISP3,0 out of 24,0.00%,
DIXDC1,6 out of 24,25.00%,Astrocytes 8; GABA neurons expressing GLU receptors 22; Astrocytes 5; Oligodendrocyte progenitor cells 7; Astrocytes 4; Oligodendrocytes 3
DKC1,0 out of 24,0.00%,
DKK2,0 out of 24,0.00%,
DKK3,7 out of 24,29.17%,Oligodendrocyte progenitor cells 12; GABA neurons expressing GLU receptors 22; Oligodendrocytes 10; DA like neurons 11; Oligodendrocytes 16; Oligodendrocytes 3; Endothelial cells 9
DLAT,0 out of 24,0.00%,
DLC1,4 out of 24,16.67%,Astrocytes 8; Endothelial cells 9; Astrocytes 15; GABA neurons expressing GLU receptors 22
DLD,0 out of 24,0.00%,
DLEU2,2 out of 24,8.33%,Endothelial cells 9; Oligodendrocytes 20
DLEU7,0 out of 24,0.00%,
DLEU7-AS1,1 out of 24,4.17%,Microglia 1
DLG1,5 out of 24,20.83%,Oligodendrocyte progenitor cells 12; Astrocytes 8; Oligodendrocytes 2; Astrocytes 15; DA neurons 6
DLG2,8 out of 24,33.33%,Astrocytes 8; GLU like neurons 17; Oligodendrocytes 10; GABA neurons expressing GLU receptors 22; Oligodendrocyte progenitor cells 7; Oligodendrocytes 2; T cells 18; Endothelial cells 9
DLG3,0 out of 24,0.00%,
DLG4,0 out of 24,0.00%,
DLG5,1 out of 24,4.17%,Oligodendrocyte progenitor cells 7
DLGAP1,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; DA like neurons 11
DLGAP2,2 out of 24,8.33%,Astrocytes 4; GABA like neurons 14
DLGAP3,0 out of 24,0.00%,
DLGAP4,1 out of 24,4.17%,GABA like neurons 14
DLGAP4-AS1,0 out of 24,0.00%,
DLK1,0 out of 24,0.00%,
DLL1,0 out of 24,0.00%,
DLL4,0 out of 24,0.00%,
DLST,1 out of 24,4.17%,Astrocytes 15
DMAC1,0 out of 24,0.00%,
DMAP1,0 out of 24,0.00%,
DMBX1,0 out of 24,0.00%,
DMD,3 out of 24,12.50%,GLU like neurons 17; Oligodendrocytes 20; Oligodendrocytes 0
DMGDH,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; GLU like neurons 17
DMKN,0 out of 24,0.00%,
DMPK,1 out of 24,4.17%,Connective tissue cells 21
DMTF1,2 out of 24,8.33%,Astrocytes 5; Oligodendrocyte progenitor cells 12
DMTN,0 out of 24,0.00%,
DMXL1,0 out of 24,0.00%,
DMXL2,1 out of 24,4.17%,Microglia 1
DNA2,0 out of 24,0.00%,
DNAAF1,0 out of 24,0.00%,
DNAAF4,0 out of 24,0.00%,
DNAAF5,0 out of 24,0.00%,
DNAH1,0 out of 24,0.00%,
DNAH10,0 out of 24,0.00%,
DNAH11,0 out of 24,0.00%,
DNAH12,1 out of 24,4.17%,Astrocytes microglia 23
DNAH14,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
DNAH17,0 out of 24,0.00%,
DNAH5,1 out of 24,4.17%,Astrocytes 15
DNAH6,1 out of 24,4.17%,Astrocytes 5
DNAH7,1 out of 24,4.17%,Connective tissue cells 21
DNAH9,1 out of 24,4.17%,Astrocytes 5
DNAI1,1 out of 24,4.17%,GABA like neurons 14
DNAJA1,6 out of 24,25.00%,GABA neurons expressing GLU receptors 22; Oligodendrocyte progenitor cells 7; DA like neurons 11; Oligodendrocytes 2; GABA like neurons 14; Astrocytes 15
DNAJA2,0 out of 24,0.00%,
DNAJA3,0 out of 24,0.00%,
DNAJA4,9 out of 24,37.50%,Astrocytes microglia 23; Astrocytes 8; GABA neurons expressing GLU receptors 22; Astrocytes 5; Connective tissue cells 21; Oligodendrocyte progenitor cells 7; Astrocytes 4; Endothelial cells 9; Microglia 1
DNAJB1,3 out of 24,12.50%,Endothelial cells 9; Oligodendrocyte progenitor cells 7; T cells 18
DNAJB12,0 out of 24,0.00%,
DNAJB14,0 out of 24,0.00%,
DNAJB2,0 out of 24,0.00%,
DNAJB6,5 out of 24,20.83%,Astrocytes 8; Oligodendrocyte progenitor cells 7; Oligodendrocytes 2; T cells 18; Oligodendrocytes 0
DNAJB9,0 out of 24,0.00%,
DNAJC1,1 out of 24,4.17%,Oligodendrocytes 3
DNAJC10,0 out of 24,0.00%,
DNAJC11,0 out of 24,0.00%,
DNAJC12,0 out of 24,0.00%,
DNAJC13,2 out of 24,8.33%,GLU like neurons 17; Microglia 19
DNAJC15,0 out of 24,0.00%,
DNAJC16,0 out of 24,0.00%,
DNAJC17,1 out of 24,4.17%,Oligodendrocytes 20
DNAJC18,0 out of 24,0.00%,
DNAJC19,0 out of 24,0.00%,
DNAJC2,0 out of 24,0.00%,
DNAJC21,0 out of 24,0.00%,
DNAJC24,0 out of 24,0.00%,
DNAJC27,0 out of 24,0.00%,
DNAJC27-AS1,0 out of 24,0.00%,
DNAJC3,2 out of 24,8.33%,Microglia 1; Microglia 19
DNAJC3-DT,0 out of 24,0.00%,
DNAJC5,0 out of 24,0.00%,
DNAJC6,4 out of 24,16.67%,Astrocytes 8; DA neurons 6; Connective tissue cells 21; Endothelial cells 9
DNAJC7,0 out of 24,0.00%,
DNAJC8,0 out of 24,0.00%,
DNAJC9,0 out of 24,0.00%,
DNAL1,0 out of 24,0.00%,
DNASE1,0 out of 24,0.00%,
DNASE2,0 out of 24,0.00%,
DNER,8 out of 24,33.33%,Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte progenitor cells 7; T cells 18; Endothelial cells 9; GABA neurons expressing GABA receptors 13; DA neurons 6; Microglia 1
DNHD1,0 out of 24,0.00%,
DNM1,4 out of 24,16.67%,GABA neurons expressing GABA receptors 13; DA neurons 6; Oligodendrocyte progenitor cells 12; Oligodendrocytes 10
DNM1L,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
DNM2,2 out of 24,8.33%,DA like neurons 11; GABA like neurons 14
DNM3,4 out of 24,16.67%,Astrocytes 8; T cells 18; Oligodendrocytes 3; Astrocytes 15
DNMBP,0 out of 24,0.00%,
DNMBP-AS1,0 out of 24,0.00%,
DNMT1,2 out of 24,8.33%,Astrocytes microglia 23; Connective tissue cells 21
DNMT3A,2 out of 24,8.33%,GLU like neurons 17; GABA like neurons 14
DNPEP,0 out of 24,0.00%,
DNTTIP1,0 out of 24,0.00%,
DNTTIP2,0 out of 24,0.00%,
DOC2A,0 out of 24,0.00%,
DOC2B,0 out of 24,0.00%,
DOCK1,3 out of 24,12.50%,GLU like neurons 17; DA like neurons 11; Oligodendrocytes 3
DOCK10,7 out of 24,29.17%,Astrocytes 8; GABA neurons expressing GLU receptors 22; Astrocytes 5; Connective tissue cells 21; Oligodendrocytes 2; Endothelial cells 9; DA neurons 6
DOCK11,0 out of 24,0.00%,
DOCK2,1 out of 24,4.17%,Oligodendrocytes 10
DOCK3,2 out of 24,8.33%,Endothelial cells 9; Oligodendrocytes 2
DOCK4,4 out of 24,16.67%,DA neurons 6; Oligodendrocyte progenitor cells 12; Oligodendrocytes 10; T cells 18
DOCK5,11 out of 24,45.83%,Oligodendrocyte progenitor cells 12; GLU like neurons 17; GABA neurons expressing GLU receptors 22; Astrocytes 5; Oligodendrocyte progenitor cells 7; DA like neurons 11; Oligodendrocytes 3; Oligodendrocytes 2; T cells 18; Oligodendrocytes 0; Endothelial cells 9
DOCK6,0 out of 24,0.00%,
DOCK7,1 out of 24,4.17%,Microglia 19
DOCK8,1 out of 24,4.17%,T cells 18
DOCK9,1 out of 24,4.17%,Astrocytes 8
DOHH,0 out of 24,0.00%,
DOK2,1 out of 24,4.17%,T cells 18
DOK3,0 out of 24,0.00%,
DOK5,0 out of 24,0.00%,
DOK6,2 out of 24,8.33%,GLU like neurons 17; DA like neurons 11
DOPEY1,0 out of 24,0.00%,
DOPEY2,0 out of 24,0.00%,
DOT1L,0 out of 24,0.00%,
DPCD,0 out of 24,0.00%,
DPEP2,1 out of 24,4.17%,Astrocytes microglia 23
DPF1,0 out of 24,0.00%,
DPF2,0 out of 24,0.00%,
DPF3,0 out of 24,0.00%,
DPH5,1 out of 24,4.17%,Astrocytes microglia 23
DPH6,0 out of 24,0.00%,
DPH6-DT,5 out of 24,20.83%,Astrocytes 8; Oligodendrocytes 20; GABA neurons expressing GLU receptors 22; Astrocytes 5; Oligodendrocytes 3
DPH7,0 out of 24,0.00%,
DPM1,0 out of 24,0.00%,
DPM3,0 out of 24,0.00%,
DPP10,3 out of 24,12.50%,Astrocytes microglia 23; GLU like neurons 17; Astrocytes 15
DPP4,0 out of 24,0.00%,
DPP6,3 out of 24,12.50%,Endothelial cells 9; GLU like neurons 17; Oligodendrocyte progenitor cells 12
DPP7,0 out of 24,0.00%,
DPP8,0 out of 24,0.00%,
DPP9,1 out of 24,4.17%,DA like neurons 11
DPY19L1,2 out of 24,8.33%,Oligodendrocyte progenitor cells 7; Oligodendrocyte progenitor cells 12
DPY19L2,1 out of 24,4.17%,Astrocytes microglia 23
DPY19L3,1 out of 24,4.17%,Connective tissue cells 21
DPY19L4,0 out of 24,0.00%,
DPY30,0 out of 24,0.00%,
DPYD,10 out of 24,41.67%,Oligodendrocyte progenitor cells 12; Astrocytes 8; GLU like neurons 17; GABA neurons expressing GLU receptors 22; Astrocytes 5; Oligodendrocytes 3; Oligodendrocytes 2; Astrocytes 15; Microglia 19; Microglia 1
DPYD-AS1,2 out of 24,8.33%,Astrocytes microglia 23; Oligodendrocytes 20
DPYSL2,2 out of 24,8.33%,Oligodendrocytes 10; T cells 18
DPYSL3,4 out of 24,16.67%,Astrocytes 8; Astrocytes 4; Astrocytes 5; Astrocytes 15
DPYSL4,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
DPYSL5,1 out of 24,4.17%,Oligodendrocytes 10
DR1,0 out of 24,0.00%,
DRAIC,0 out of 24,0.00%,
DRAM1,1 out of 24,4.17%,Connective tissue cells 21
DRAM2,0 out of 24,0.00%,
DRAP1,1 out of 24,4.17%,GABA neurons expressing GABA receptors 13
DRD2,0 out of 24,0.00%,
DRG1,0 out of 24,0.00%,
DRG2,0 out of 24,0.00%,
DROSHA,0 out of 24,0.00%,
DRP2,0 out of 24,0.00%,
DSC2,0 out of 24,0.00%,
DSCAM,5 out of 24,20.83%,Oligodendrocytes 10; Oligodendrocyte progenitor cells 7; Oligodendrocytes 16; GABA like neurons 14; Microglia 19
DSCAML1,3 out of 24,12.50%,Endothelial cells 9; Oligodendrocytes 2; GABA like neurons 14
DSE,0 out of 24,0.00%,
DSEL,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
DSP,0 out of 24,0.00%,
DST,5 out of 24,20.83%,Oligodendrocyte progenitor cells 12; Astrocytes 8; Astrocytes 5; Oligodendrocytes 3; Endothelial cells 9
DSTN,11 out of 24,45.83%,Astrocytes 8; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte progenitor cells 7; DA like neurons 11; Oligodendrocytes 16; Oligodendrocytes 3; GABA like neurons 14; T cells 18; DA neurons 6; Microglia 1
DSTYK,0 out of 24,0.00%,
DTD1,0 out of 24,0.00%,
DTHD1,0 out of 24,0.00%,
DTNA,2 out of 24,8.33%,Astrocytes 5; Oligodendrocytes 2
DTNB,2 out of 24,8.33%,DA like neurons 11; Oligodendrocytes 2
DTNBP1,0 out of 24,0.00%,
DTWD1,2 out of 24,8.33%,Astrocytes microglia 23; GABA neurons expressing GLU receptors 22
DTWD2,1 out of 24,4.17%,Oligodendrocytes 20
DTX1,0 out of 24,0.00%,
DTX2,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
DTX3,0 out of 24,0.00%,
DTX3L,0 out of 24,0.00%,
DTX4,0 out of 24,0.00%,
DUBR,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocytes 0
DUS1L,0 out of 24,0.00%,
DUS2,0 out of 24,0.00%,
DUSP1,1 out of 24,4.17%,Oligodendrocyte progenitor cells 7
DUSP10,3 out of 24,12.50%,Oligodendrocytes 3; Oligodendrocyte progenitor cells 7; Oligodendrocytes 0
DUSP11,0 out of 24,0.00%,
DUSP12,1 out of 24,4.17%,Astrocytes microglia 23
DUSP16,6 out of 24,25.00%,Astrocytes 5; Oligodendrocyte progenitor cells 7; Connective tissue cells 21; Oligodendrocytes 3; T cells 18; Oligodendrocytes 0
DUSP18,1 out of 24,4.17%,Astrocytes microglia 23
DUSP2,0 out of 24,0.00%,
DUSP22,0 out of 24,0.00%,
DUSP23,0 out of 24,0.00%,
DUSP26,0 out of 24,0.00%,
DUSP3,0 out of 24,0.00%,
DUSP5,0 out of 24,0.00%,
DUSP6,0 out of 24,0.00%,
DUSP7,0 out of 24,0.00%,
DUSP8,0 out of 24,0.00%,
DUT,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
DVL1,0 out of 24,0.00%,
DVL2,0 out of 24,0.00%,
DVL3,0 out of 24,0.00%,
DYM,2 out of 24,8.33%,Endothelial cells 9; Astrocytes 5
DYNC1H1,3 out of 24,12.50%,GABA neurons expressing GABA receptors 13; Oligodendrocytes 10; Oligodendrocytes 16
DYNC1I1,3 out of 24,12.50%,GLU like neurons 17; DA neurons 6; Oligodendrocytes 10
DYNC1I2,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocytes 2
DYNC1LI1,1 out of 24,4.17%,Astrocytes microglia 23
DYNC1LI2,1 out of 24,4.17%,Oligodendrocytes 0
DYNC2H1,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocyte progenitor cells 12
DYNC2LI1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
DYNLL1,5 out of 24,20.83%,Oligodendrocyte progenitor cells 12; Oligodendrocytes 10; DA like neurons 11; Oligodendrocytes 3; GABA like neurons 14
DYNLL2,4 out of 24,16.67%,DA like neurons 11; GABA neurons expressing GABA receptors 13; Oligodendrocytes 10; Astrocytes 15
DYNLRB1,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; GABA like neurons 14
DYNLT1,0 out of 24,0.00%,
DYNLT3,2 out of 24,8.33%,DA like neurons 11; GABA like neurons 14
DYRK1A,5 out of 24,20.83%,Oligodendrocyte progenitor cells 12; Oligodendrocytes 10; Oligodendrocytes 3; Oligodendrocytes 0; Endothelial cells 9
DYRK2,0 out of 24,0.00%,
DYSF,1 out of 24,4.17%,Oligodendrocytes 0
DZANK1,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
DZIP1,0 out of 24,0.00%,
DZIP1L,1 out of 24,4.17%,Astrocytes microglia 23
DZIP3,0 out of 24,0.00%,
E2F3,1 out of 24,4.17%,Oligodendrocyte progenitor cells 12
E2F4,1 out of 24,4.17%,Astrocytes microglia 23
E2F6,0 out of 24,0.00%,
EAF1,0 out of 24,0.00%,
EAF2,1 out of 24,4.17%,Astrocytes 4
EAPP,1 out of 24,4.17%,Connective tissue cells 21
EARS2,0 out of 24,0.00%,
EBAG9,0 out of 24,0.00%,
EBF1,3 out of 24,12.50%,Endothelial cells 9; DA like neurons 11; Oligodendrocyte progenitor cells 12
EBF2,0 out of 24,0.00%,
EBF3,0 out of 24,0.00%,
EBF4,1 out of 24,4.17%,Connective tissue cells 21
EBI3,0 out of 24,0.00%,
EBLN3P,1 out of 24,4.17%,Connective tissue cells 21
EBP,0 out of 24,0.00%,
EBPL,0 out of 24,0.00%,
ECD,1 out of 24,4.17%,Connective tissue cells 21
ECE1,1 out of 24,4.17%,Astrocytes 15
ECH1,0 out of 24,0.00%,
ECHDC1,0 out of 24,0.00%,
ECHDC2,4 out of 24,16.67%,Astrocytes 8; GLU like neurons 17; GABA like neurons 14; Astrocytes 15
ECHS1,0 out of 24,0.00%,
ECI1,0 out of 24,0.00%,
ECI2,1 out of 24,4.17%,Connective tissue cells 21
ECM2,0 out of 24,0.00%,
ECPAS,0 out of 24,0.00%,
ECSIT,1 out of 24,4.17%,Astrocytes microglia 23
ECT2,0 out of 24,0.00%,
EDA,1 out of 24,4.17%,Microglia 19
EDC3,1 out of 24,4.17%,Connective tissue cells 21
EDEM1,0 out of 24,0.00%,
EDEM2,0 out of 24,0.00%,
EDEM3,0 out of 24,0.00%,
EDF1,3 out of 24,12.50%,Endothelial cells 9; DA neurons 6; GABA like neurons 14
EDIL3,11 out of 24,45.83%,Astrocytes microglia 23; Oligodendrocyte progenitor cells 12; Astrocytes 8; GABA neurons expressing GLU receptors 22; GLU like neurons 17; Oligodendrocytes 10; Connective tissue cells 21; DA like neurons 11; Astrocytes 15; T cells 18; Endothelial cells 9
EDN1,0 out of 24,0.00%,
EDN3,0 out of 24,0.00%,
EDNRA,0 out of 24,0.00%,
EDNRB,1 out of 24,4.17%,Astrocytes microglia 23
EDRF1,0 out of 24,0.00%,
EEA1,0 out of 24,0.00%,
EED,1 out of 24,4.17%,Connective tissue cells 21
EEF1A1,7 out of 24,29.17%,Oligodendrocyte progenitor cells 12; GABA neurons expressing GLU receptors 22; Connective tissue cells 21; Oligodendrocyte progenitor cells 7; Oligodendrocytes 2; GABA like neurons 14; T cells 18
EEF1A2,7 out of 24,29.17%,GABA neurons expressing GLU receptors 22; Oligodendrocytes 10; Oligodendrocyte progenitor cells 7; DA like neurons 11; Oligodendrocytes 16; Oligodendrocytes 3; GABA like neurons 14
EEF1AKMT1,0 out of 24,0.00%,
EEF1B2,0 out of 24,0.00%,
EEF1D,1 out of 24,4.17%,Endothelial cells 9
EEF2,4 out of 24,16.67%,GABA neurons expressing GLU receptors 22; DA like neurons 11; Oligodendrocytes 2; GABA like neurons 14
EEF2K,3 out of 24,12.50%,Astrocytes 8; Astrocytes 4; GABA like neurons 14
EEFSEC,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocytes 10
EEPD1,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocytes 2
EFCAB11,2 out of 24,8.33%,Oligodendrocytes 3; Oligodendrocytes 0
EFCAB13,0 out of 24,0.00%,
EFCAB14,0 out of 24,0.00%,
EFCAB2,0 out of 24,0.00%,
EFCAB5,0 out of 24,0.00%,
EFCAB6,0 out of 24,0.00%,
EFCAB7,1 out of 24,4.17%,Oligodendrocytes 20
EFEMP1,1 out of 24,4.17%,Astrocytes 4
EFEMP2,0 out of 24,0.00%,
EFHC1,0 out of 24,0.00%,
EFHC2,0 out of 24,0.00%,
EFHD1,2 out of 24,8.33%,Oligodendrocytes 10; Oligodendrocytes 16
EFHD2,1 out of 24,4.17%,T cells 18
EFL1,1 out of 24,4.17%,Oligodendrocytes 20
EFNA1,0 out of 24,0.00%,
EFNA5,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
EFNB2,0 out of 24,0.00%,
EFR3A,0 out of 24,0.00%,
EFR3B,1 out of 24,4.17%,Oligodendrocytes 3
EFS,0 out of 24,0.00%,
EFTUD2,0 out of 24,0.00%,
EGF,0 out of 24,0.00%,
EGFL7,0 out of 24,0.00%,
EGFLAM,0 out of 24,0.00%,
EGFR,5 out of 24,20.83%,Astrocytes 8; GABA neurons expressing GLU receptors 22; Astrocytes 5; Astrocytes 4; Astrocytes 15
EGLN1,0 out of 24,0.00%,
EGLN3,0 out of 24,0.00%,
EGR1,1 out of 24,4.17%,Endothelial cells 9
EHBP1,2 out of 24,8.33%,DA like neurons 11; T cells 18
EHBP1L1,0 out of 24,0.00%,
EHD1,1 out of 24,4.17%,Astrocytes 15
EHD2,0 out of 24,0.00%,
EHD3,1 out of 24,4.17%,DA neurons 6
EHD4,1 out of 24,4.17%,Oligodendrocyte progenitor cells 7
EHHADH,0 out of 24,0.00%,
EHMT1,2 out of 24,8.33%,DA like neurons 11; Oligodendrocytes 10
EHMT2,2 out of 24,8.33%,Astrocytes microglia 23; Oligodendrocytes 16
EI24,0 out of 24,0.00%,
EID1,7 out of 24,29.17%,Astrocytes 8; GLU like neurons 17; GABA neurons expressing GLU receptors 22; DA like neurons 11; Oligodendrocytes 3; GABA like neurons 14; Microglia 19
EID2,0 out of 24,0.00%,
EID2B,0 out of 24,0.00%,
EIF1,11 out of 24,45.83%,Astrocytes 8; GABA neurons expressing GLU receptors 22; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte progenitor cells 7; DA like neurons 11; Oligodendrocytes 3; Oligodendrocytes 2; GABA like neurons 14; Oligodendrocytes 0; Endothelial cells 9
EIF1AX,1 out of 24,4.17%,GABA like neurons 14
EIF1B,3 out of 24,12.50%,Astrocytes microglia 23; DA like neurons 11; GABA like neurons 14
EIF2A,0 out of 24,0.00%,
EIF2AK1,0 out of 24,0.00%,
EIF2AK2,1 out of 24,4.17%,Microglia 19
EIF2AK3,2 out of 24,8.33%,GABA neurons expressing GLU receptors 22; Oligodendrocytes 16
EIF2AK4,0 out of 24,0.00%,
EIF2B1,0 out of 24,0.00%,
EIF2B3,1 out of 24,4.17%,GLU like neurons 17
EIF2B5,0 out of 24,0.00%,
EIF2D,0 out of 24,0.00%,
EIF2S1,0 out of 24,0.00%,
EIF2S2,0 out of 24,0.00%,
EIF2S3,0 out of 24,0.00%,
EIF3A,0 out of 24,0.00%,
EIF3B,1 out of 24,4.17%,GABA neurons expressing GLU receptors 22
EIF3D,1 out of 24,4.17%,Connective tissue cells 21
EIF3E,0 out of 24,0.00%,
EIF3F,0 out of 24,0.00%,
EIF3G,0 out of 24,0.00%,
EIF3H,0 out of 24,0.00%,
EIF3I,0 out of 24,0.00%,
EIF3J,0 out of 24,0.00%,
EIF3J-DT,0 out of 24,0.00%,
EIF3K,3 out of 24,12.50%,Endothelial cells 9; DA neurons 6; Connective tissue cells 21
EIF3L,0 out of 24,0.00%,
EIF3M,0 out of 24,0.00%,
EIF4A1,0 out of 24,0.00%,
EIF4A2,3 out of 24,12.50%,GABA neurons expressing GLU receptors 22; DA like neurons 11; GABA like neurons 14
EIF4B,0 out of 24,0.00%,
EIF4E,0 out of 24,0.00%,
EIF4E1B,0 out of 24,0.00%,
EIF4E2,0 out of 24,0.00%,
EIF4E3,0 out of 24,0.00%,
