Gene,Statistic,Percentage,Cell Types
BROX,3 out of 24,12.50%,Microglia 1; Oligodendrocytes 2; Oligodendrocytes 0
BRPF3,1 out of 24,4.17%,Astrocytes_microglia 23
BRSK1,1 out of 24,4.17%,GABA_like_neurons 14
BRSK2,2 out of 24,8.33%,Astrocytes 4; Astrocytes 15
BRWD1,5 out of 24,20.83%,Oligodendrocytes 10; Astrocytes 5; Oligodendrocytes 0; Endothelial_cells 9; DA_neurons 6
BRWD3,4 out of 24,16.67%,Astrocytes 4; Oligodendrocyte_progenitor_cells 12; Astrocytes 15; Oligodendrocytes 0
BSDC1,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
BSG,5 out of 24,20.83%,Astrocytes 8; Oligodendrocytes 10; GABA_neurons_expressing_GLU_receptors 22; Microglia 19; Endothelial_cells 9
BSN,1 out of 24,4.17%,DA_neurons 6
BST2,3 out of 24,12.50%,Microglia 19; Endothelial_cells 9; Connective_tissue_cells 21
BTAF1,7 out of 24,29.17%,T_cells 18; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; Endothelial_cells 9
BTBD1,2 out of 24,8.33%,Oligodendrocytes 20; GABA_neurons_expressing_GLU_receptors 22
BTBD10,2 out of 24,8.33%,Astrocytes 5; Connective_tissue_cells 21
BTBD11,6 out of 24,25.00%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 5; GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15; DA_like_neurons 11
BTBD19,1 out of 24,4.17%,Astrocytes_microglia 23
BTBD2,2 out of 24,8.33%,GABA_like_neurons 14; Connective_tissue_cells 21
BTBD3,4 out of 24,16.67%,GABA_neurons_expressing_GABA_receptors 13; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 0
BTBD6,0 out of 24,0.00%,
BTBD7,3 out of 24,12.50%,Oligodendrocytes 20; Astrocytes_microglia 23; GABA_like_neurons 14
BTBD8,2 out of 24,8.33%,GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12
BTBD9,5 out of 24,20.83%,GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 2; DA_like_neurons 11
BTD,2 out of 24,8.33%,Oligodendrocytes 20; Astrocytes_microglia 23
BTF3,4 out of 24,16.67%,Astrocytes_microglia 23; GABA_like_neurons 14; Endothelial_cells 9; Oligodendrocyte_progenitor_cells 12
BTF3L4,2 out of 24,8.33%,Astrocytes_microglia 23; Connective_tissue_cells 21
BTG1,2 out of 24,8.33%,T_cells 18; Oligodendrocytes 16
BTG2,6 out of 24,25.00%,T_cells 18; Astrocytes 8; Astrocytes 5; Astrocytes 4; Oligodendrocyte_progenitor_cells 7; Microglia 19
BTG3,2 out of 24,8.33%,Astrocytes_microglia 23; Oligodendrocyte_progenitor_cells 7
BTK,0 out of 24,0.00%,
BTN2A1,0 out of 24,0.00%,
BTN2A2,1 out of 24,4.17%,Astrocytes_microglia 23
BTN3A1,1 out of 24,4.17%,Astrocytes_microglia 23
BTN3A2,2 out of 24,8.33%,Astrocytes_microglia 23; T_cells 18
BTN3A3,0 out of 24,0.00%,
BTNL9,1 out of 24,4.17%,Endothelial_cells 9
BTRC,4 out of 24,16.67%,GABA_neurons_expressing_GLU_receptors 22; Microglia 1; Endothelial_cells 9; Oligodendrocytes 2
BUB3,4 out of 24,16.67%,Astrocytes_microglia 23; Oligodendrocytes 2; T_cells 18; Connective_tissue_cells 21
BUD23,1 out of 24,4.17%,Oligodendrocytes 16
BUD31,0 out of 24,0.00%,
BX322234.1,0 out of 24,0.00%,
BZW1,2 out of 24,8.33%,Astrocytes_microglia 23; T_cells 18
BZW2,0 out of 24,0.00%,
C10orf143,0 out of 24,0.00%,
C10orf88,0 out of 24,0.00%,
C10orf90,5 out of 24,20.83%,Astrocytes 8; Oligodendrocytes 10; Oligodendrocytes 3; GLU_like_neurons 17; Astrocytes 15
C11orf49,4 out of 24,16.67%,Astrocytes 8; Oligodendrocytes 20; Astrocytes 5; Oligodendrocyte_progenitor_cells 12
C11orf58,0 out of 24,0.00%,
C11orf65,0 out of 24,0.00%,
C11orf68,0 out of 24,0.00%,
C11orf74,0 out of 24,0.00%,
C11orf80,3 out of 24,12.50%,Astrocytes_microglia 23; GLU_like_neurons 17; DA_like_neurons 11
C11orf87,0 out of 24,0.00%,
C11orf96,1 out of 24,4.17%,Endothelial_cells 9
C12orf10,3 out of 24,12.50%,DA_like_neurons 11; GABA_like_neurons 14; DA_neurons 6
C12orf29,0 out of 24,0.00%,
C12orf4,3 out of 24,12.50%,Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocyte_progenitor_cells 7
C12orf40,2 out of 24,8.33%,Astrocytes_microglia 23; DA_like_neurons 11
C12orf42,0 out of 24,0.00%,
C12orf43,0 out of 24,0.00%,
C12orf45,0 out of 24,0.00%,
C12orf49,0 out of 24,0.00%,
C12orf57,1 out of 24,4.17%,Endothelial_cells 9
C12orf60,0 out of 24,0.00%,
C12orf65,1 out of 24,4.17%,Astrocytes_microglia 23
C12orf73,2 out of 24,8.33%,Oligodendrocytes 20; Astrocytes_microglia 23
C12orf75,0 out of 24,0.00%,
C12orf76,1 out of 24,4.17%,Microglia 19
C14orf119,0 out of 24,0.00%,
C14orf132,1 out of 24,4.17%,Connective_tissue_cells 21
C14orf93,0 out of 24,0.00%,
C15orf40,2 out of 24,8.33%,Astrocytes 4; Oligodendrocytes 16
C15orf41,1 out of 24,4.17%,Oligodendrocytes 3
C15orf53,1 out of 24,4.17%,T_cells 18
C15orf59,0 out of 24,0.00%,
C16orf45,3 out of 24,12.50%,DA_like_neurons 11; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17
C16orf58,0 out of 24,0.00%,
C16orf70,0 out of 24,0.00%,
C16orf72,3 out of 24,12.50%,Oligodendrocytes 0; Astrocytes 5; Connective_tissue_cells 21
C16orf87,2 out of 24,8.33%,GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 7
C16orf89,0 out of 24,0.00%,
C16orf95,0 out of 24,0.00%,
C17orf100,0 out of 24,0.00%,
C17orf51,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
C17orf67,5 out of 24,20.83%,Astrocytes_microglia 23; Oligodendrocyte_progenitor_cells 7; Microglia 19; Microglia 1; Endothelial_cells 9
C17orf75,1 out of 24,4.17%,Astrocytes_microglia 23
C17orf80,0 out of 24,0.00%,
C18orf25,4 out of 24,16.67%,DA_like_neurons 11; GABA_like_neurons 14; GLU_like_neurons 17; Oligodendrocytes 2
C19orf12,1 out of 24,4.17%,Oligodendrocytes 20
C19orf18,0 out of 24,0.00%,
C19orf25,3 out of 24,12.50%,Microglia 19; Oligodendrocytes 16; Connective_tissue_cells 21
C19orf44,0 out of 24,0.00%,
C19orf53,3 out of 24,12.50%,GABA_like_neurons 14; Endothelial_cells 9; DA_neurons 6
C19orf66,1 out of 24,4.17%,Astrocytes_microglia 23
C19orf70,2 out of 24,8.33%,GABA_like_neurons 14; DA_neurons 6
C1D,0 out of 24,0.00%,
C1GALT1,1 out of 24,4.17%,Connective_tissue_cells 21
C1QA,1 out of 24,4.17%,Microglia 1
C1QB,2 out of 24,8.33%,Astrocytes_microglia 23; Microglia 1
C1QBP,2 out of 24,8.33%,Astrocytes_microglia 23; GABA_like_neurons 14
C1QC,2 out of 24,8.33%,Astrocytes_microglia 23; Microglia 1
C1QL1,1 out of 24,4.17%,Oligodendrocyte_progenitor_cells 12
C1QL2,0 out of 24,0.00%,
C1QTNF1,1 out of 24,4.17%,Endothelial_cells 9
C1QTNF3-AMACR,6 out of 24,25.00%,Oligodendrocytes 16; Oligodendrocytes 2; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 3; Astrocytes 15; Oligodendrocyte_progenitor_cells 7
C1QTNF4,1 out of 24,4.17%,Astrocytes_microglia 23
C1QTNF7,1 out of 24,4.17%,Connective_tissue_cells 21
C1R,1 out of 24,4.17%,Connective_tissue_cells 21
C1RL,1 out of 24,4.17%,Astrocytes 4
C1RL-AS1,1 out of 24,4.17%,Connective_tissue_cells 21
C1S,1 out of 24,4.17%,Astrocytes 15
C1orf112,1 out of 24,4.17%,Microglia 19
C1orf122,6 out of 24,25.00%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 2; DA_neurons 6
C1orf123,1 out of 24,4.17%,Oligodendrocytes 16
C1orf131,1 out of 24,4.17%,Astrocytes_microglia 23
C1orf159,0 out of 24,0.00%,
C1orf162,1 out of 24,4.17%,Microglia 19
C1orf198,0 out of 24,0.00%,
C1orf21,6 out of 24,25.00%,T_cells 18; Astrocytes 5; Astrocytes 4; GLU_like_neurons 17; Astrocytes 15; DA_like_neurons 11
C1orf216,0 out of 24,0.00%,
C1orf35,0 out of 24,0.00%,
C1orf43,2 out of 24,8.33%,GABA_neurons_expressing_GABA_receptors 13; Microglia 19
C1orf52,5 out of 24,20.83%,Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; Connective_tissue_cells 21
C1orf54,4 out of 24,16.67%,Astrocytes 8; Astrocytes_microglia 23; Astrocytes 4; Astrocytes 5
C1orf56,1 out of 24,4.17%,Astrocytes_microglia 23
C1orf61,7 out of 24,29.17%,Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7; Astrocytes 15
C1orf87,0 out of 24,0.00%,
C2,0 out of 24,0.00%,
C20orf194,8 out of 24,33.33%,Oligodendrocytes 0; GABA_like_neurons 14; Astrocytes 8; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; DA_like_neurons 11; Microglia 1
C20orf27,0 out of 24,0.00%,
C20orf96,1 out of 24,4.17%,Astrocytes_microglia 23
C21orf2,0 out of 24,0.00%,
C21orf62-AS1,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 3; Connective_tissue_cells 21
C21orf91,1 out of 24,4.17%,Oligodendrocytes 16
C22orf34,4 out of 24,16.67%,T_cells 18; Microglia 1; Endothelial_cells 9; Oligodendrocyte_progenitor_cells 7
C2CD2,6 out of 24,25.00%,GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Astrocytes 15
C2CD2L,1 out of 24,4.17%,Astrocytes_microglia 23
C2CD3,5 out of 24,20.83%,GABA_like_neurons 14; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0
C2CD5,4 out of 24,16.67%,Astrocytes_microglia 23; Microglia 1; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 0
C2CD6,2 out of 24,8.33%,Oligodendrocytes 20; Oligodendrocytes 16
C2orf42,1 out of 24,4.17%,Astrocytes_microglia 23
C2orf49,0 out of 24,0.00%,
C2orf68,0 out of 24,0.00%,
C2orf69,3 out of 24,12.50%,Astrocytes_microglia 23; Oligodendrocytes 3; Oligodendrocytes 2
C2orf72,4 out of 24,16.67%,Astrocytes_microglia 23; Astrocytes 4; Astrocytes 5; Astrocytes 15
C2orf74,0 out of 24,0.00%,
C2orf76,2 out of 24,8.33%,Astrocytes_microglia 23; Astrocytes 15
C2orf80,0 out of 24,0.00%,
C2orf88,5 out of 24,20.83%,Astrocytes_microglia 23; Astrocytes 5; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15
C2orf92,0 out of 24,0.00%,
C3,1 out of 24,4.17%,Microglia 19
C3AR1,1 out of 24,4.17%,Microglia 19
C3orf14,0 out of 24,0.00%,
C3orf20,1 out of 24,4.17%,GABA_like_neurons 14
C3orf38,5 out of 24,20.83%,GABA_like_neurons 14; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; Oligodendrocytes 0
C3orf58,2 out of 24,8.33%,GABA_like_neurons 14; Astrocytes 15
C3orf62,0 out of 24,0.00%,
C3orf67-AS1,0 out of 24,0.00%,
C3orf70,2 out of 24,8.33%,Oligodendrocyte_progenitor_cells 12; Astrocytes 15
C4orf19,2 out of 24,8.33%,Astrocytes 8; Microglia 1
C4orf3,3 out of 24,12.50%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; DA_neurons 6
C4orf33,0 out of 24,0.00%,
C4orf47,2 out of 24,8.33%,GABA_neurons_expressing_GLU_receptors 22; GABA_like_neurons 14
C4orf48,7 out of 24,29.17%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Oligodendrocytes 0; DA_neurons 6
C4orf50,0 out of 24,0.00%,
C5,0 out of 24,0.00%,
C5AR1,3 out of 24,12.50%,Astrocytes_microglia 23; Microglia 1; Microglia 19
C5orf15,2 out of 24,8.33%,Oligodendrocytes 16; Oligodendrocytes 2
C5orf22,0 out of 24,0.00%,
C5orf24,2 out of 24,8.33%,Oligodendrocytes 0; Connective_tissue_cells 21
C5orf30,1 out of 24,4.17%,Oligodendrocytes 0
C5orf51,2 out of 24,8.33%,Astrocytes_microglia 23; Oligodendrocytes 16
C5orf63,0 out of 24,0.00%,
C6orf106,3 out of 24,12.50%,GABA_neurons_expressing_GABA_receptors 13; DA_neurons 6; Connective_tissue_cells 21
C6orf120,0 out of 24,0.00%,
C6orf136,0 out of 24,0.00%,
C6orf141,0 out of 24,0.00%,
C6orf203,0 out of 24,0.00%,
C6orf62,2 out of 24,8.33%,DA_neurons 6; Oligodendrocytes 0
C6orf89,1 out of 24,4.17%,Connective_tissue_cells 21
C7,0 out of 24,0.00%,
C7orf26,0 out of 24,0.00%,
C7orf50,2 out of 24,8.33%,GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15
C7orf61,0 out of 24,0.00%,
C8orf33,0 out of 24,0.00%,
C8orf34,2 out of 24,8.33%,DA_like_neurons 11; GLU_like_neurons 17
C8orf37-AS1,1 out of 24,4.17%,Astrocytes 5
C8orf59,1 out of 24,4.17%,Astrocytes_microglia 23
C9orf129,0 out of 24,0.00%,
C9orf147,0 out of 24,0.00%,
C9orf153,0 out of 24,0.00%,
C9orf16,3 out of 24,12.50%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; DA_neurons 6
C9orf24,0 out of 24,0.00%,
C9orf3,6 out of 24,25.00%,T_cells 18; GABA_like_neurons 14; Astrocytes 5; GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15; DA_like_neurons 11
C9orf72,5 out of 24,20.83%,GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Astrocytes 4; Microglia 19
C9orf78,1 out of 24,4.17%,GABA_neurons_expressing_GABA_receptors 13
C9orf84,1 out of 24,4.17%,Oligodendrocyte_progenitor_cells 7
C9orf85,3 out of 24,12.50%,Oligodendrocytes 20; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7
CA10,3 out of 24,12.50%,GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7
CA11,0 out of 24,0.00%,
CA12,0 out of 24,0.00%,
CA13,0 out of 24,0.00%,
CA2,6 out of 24,25.00%,Astrocytes_microglia 23; Astrocytes 8; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Oligodendrocytes 0
CA3,1 out of 24,4.17%,Astrocytes_microglia 23
CA4,0 out of 24,0.00%,
CA5B,3 out of 24,12.50%,Oligodendrocytes 20; Microglia 1; Oligodendrocytes 0
CA8,2 out of 24,8.33%,Astrocytes 4; Astrocytes 15
CAAP1,5 out of 24,20.83%,GABA_like_neurons 14; Astrocytes 5; GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15; Connective_tissue_cells 21
CAB39,4 out of 24,16.67%,DA_like_neurons 11; GABA_neurons_expressing_GABA_receptors 13; T_cells 18; Oligodendrocytes 10
CAB39L,11 out of 24,45.83%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Astrocytes 4; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; DA_neurons 6
CABCOCO1,1 out of 24,4.17%,Astrocytes_microglia 23
CABIN1,4 out of 24,16.67%,Astrocytes 8; GABA_like_neurons 14; GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15
CABLES1,7 out of 24,29.17%,Astrocytes_microglia 23; Astrocytes 8; Astrocytes 5; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Connective_tissue_cells 21
CABP1,1 out of 24,4.17%,GLU_like_neurons 17
CACHD1,3 out of 24,12.50%,Astrocytes 8; GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14
CACNA1A,5 out of 24,20.83%,GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; DA_like_neurons 11; Connective_tissue_cells 21
CACNA1B,3 out of 24,12.50%,GLU_like_neurons 17; GABA_like_neurons 14; Astrocytes 15
CACNA1C,4 out of 24,16.67%,Astrocytes 8; GABA_like_neurons 14; Endothelial_cells 9; GABA_neurons_expressing_GLU_receptors 22
CACNA1D,6 out of 24,25.00%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; Connective_tissue_cells 21
CACNA1E,3 out of 24,12.50%,DA_like_neurons 11; GABA_like_neurons 14; DA_neurons 6
CACNA1G,1 out of 24,4.17%,DA_like_neurons 11
CACNA1I,0 out of 24,0.00%,
CACNA2D1,7 out of 24,29.17%,Oligodendrocytes 20; Astrocytes 5; Astrocytes 4; GLU_like_neurons 17; Astrocytes 15; DA_like_neurons 11; DA_neurons 6
CACNA2D2,3 out of 24,12.50%,GLU_like_neurons 17; GABA_like_neurons 14; DA_neurons 6
CACNA2D3,8 out of 24,33.33%,Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocyte_progenitor_cells 7; Endothelial_cells 9
CACNB1,0 out of 24,0.00%,
CACNB2,6 out of 24,25.00%,Astrocytes_microglia 23; Astrocytes 8; Astrocytes 4; Astrocytes 15; DA_like_neurons 11; Endothelial_cells 9
CACNB3,0 out of 24,0.00%,
CACNB4,3 out of 24,12.50%,DA_like_neurons 11; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17
CACNG2,2 out of 24,8.33%,DA_like_neurons 11; GABA_like_neurons 14
CACNG3,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
CACNG4,2 out of 24,8.33%,GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 7
CACNG7,2 out of 24,8.33%,GABA_neurons_expressing_GLU_receptors 22; GABA_like_neurons 14
CACNG8,3 out of 24,12.50%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; DA_neurons 6
CACUL1,5 out of 24,20.83%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0
CACYBP,7 out of 24,29.17%,T_cells 18; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; DA_like_neurons 11; Microglia 1; Endothelial_cells 9
CAD,1 out of 24,4.17%,Astrocytes_microglia 23
CADM1,6 out of 24,25.00%,GABA_neurons_expressing_GABA_receptors 13; Oligodendrocyte_progenitor_cells 12; Microglia 19; Microglia 1; Endothelial_cells 9; DA_neurons 6
CADM2,15 out of 24,62.50%,Astrocytes_microglia 23; Oligodendrocytes 0; T_cells 18; Astrocytes 8; Oligodendrocytes 10; Astrocytes 5; Astrocytes 4; Oligodendrocytes 3; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; DA_like_neurons 11; Microglia 1; Endothelial_cells 9; Connective_tissue_cells 21
CADM3,1 out of 24,4.17%,GABA_neurons_expressing_GLU_receptors 22
CADM4,1 out of 24,4.17%,Oligodendrocytes 20
CADPS,11 out of 24,45.83%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Oligodendrocytes 10; Astrocytes 5; Astrocytes 4; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; DA_like_neurons 11; DA_neurons 6
CADPS2,4 out of 24,16.67%,Astrocytes 8; Endothelial_cells 9; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 12
CALB2,0 out of 24,0.00%,
CALCB,1 out of 24,4.17%,GLU_like_neurons 17
CALCOCO1,4 out of 24,16.67%,Oligodendrocytes 0; GLU_like_neurons 17; Oligodendrocytes 2; Connective_tissue_cells 21
CALCOCO2,4 out of 24,16.67%,Astrocytes 4; Microglia 1; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0
CALCRL,1 out of 24,4.17%,Oligodendrocyte_progenitor_cells 12
CALD1,6 out of 24,25.00%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 3; GLU_like_neurons 17; Astrocytes 15; Endothelial_cells 9
CALM1,17 out of 24,70.83%,T_cells 18; GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 10; Astrocytes 5; Astrocytes 4; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocytes 2; Oligodendrocytes 0; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; Microglia 1; Endothelial_cells 9; DA_neurons 6
CALM2,0 out of 24,0.00%,
CALM3,13 out of 24,54.17%,GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 10; Astrocytes 5; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; Microglia 19; DA_like_neurons 11; Microglia 1; Endothelial_cells 9; DA_neurons 6; Connective_tissue_cells 21
CALN1,5 out of 24,20.83%,GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; DA_like_neurons 11; DA_neurons 6
CALR,8 out of 24,33.33%,Astrocytes_microglia 23; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7; Astrocytes 15; Microglia 19; DA_neurons 6; Connective_tissue_cells 21
CALU,4 out of 24,16.67%,Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Microglia 19
CALY,6 out of 24,25.00%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; DA_like_neurons 11; DA_neurons 6
CAMK1,0 out of 24,0.00%,
CAMK1D,7 out of 24,29.17%,GABA_like_neurons 14; Astrocytes 8; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; DA_like_neurons 11; Endothelial_cells 9
CAMK2A,1 out of 24,4.17%,GABA_like_neurons 14
CAMK2B,2 out of 24,8.33%,GLU_like_neurons 17; DA_neurons 6
CAMK2D,9 out of 24,37.50%,T_cells 18; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 8; Astrocytes 5; Oligodendrocytes 3; GLU_like_neurons 17; Oligodendrocytes 0; Endothelial_cells 9; DA_neurons 6
CAMK2G,10 out of 24,41.67%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; T_cells 18; Astrocytes 8; Astrocytes 5; Astrocytes 4; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; Astrocytes 15
CAMK2N1,7 out of 24,29.17%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Oligodendrocytes 3; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Oligodendrocytes 0
CAMK2N2,4 out of 24,16.67%,DA_like_neurons 11; GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; DA_neurons 6
CAMK4,2 out of 24,8.33%,T_cells 18; Astrocytes 15
CAMKK1,3 out of 24,12.50%,Astrocytes 5; GABA_like_neurons 14; GLU_like_neurons 17
CAMKK2,1 out of 24,4.17%,Microglia 19
CAMKMT,6 out of 24,25.00%,Oligodendrocytes 10; Oligodendrocytes 16; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; Endothelial_cells 9
CAMKV,0 out of 24,0.00%,
CAMLG,3 out of 24,12.50%,Astrocytes_microglia 23; Oligodendrocytes 10; Connective_tissue_cells 21
CAMSAP1,4 out of 24,16.67%,Astrocytes 4; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Microglia 19
CAMSAP2,6 out of 24,25.00%,GABA_neurons_expressing_GABA_receptors 13; Oligodendrocytes 16; Astrocytes 15; Oligodendrocytes 0; DA_like_neurons 11; Endothelial_cells 9
CAMSAP3,0 out of 24,0.00%,
CAMTA1,5 out of 24,20.83%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Oligodendrocytes 20; Microglia 19; DA_neurons 6
CAMTA2,1 out of 24,4.17%,GLU_like_neurons 17
CAND1,5 out of 24,20.83%,Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 2; GABA_neurons_expressing_GLU_receptors 22; DA_neurons 6
CAND2,0 out of 24,0.00%,
CANT1,0 out of 24,0.00%,
CANX,9 out of 24,37.50%,GABA_neurons_expressing_GABA_receptors 13; Astrocytes 8; Oligodendrocytes 10; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; DA_neurons 6
CAP1,1 out of 24,4.17%,Oligodendrocytes 10
CAP2,3 out of 24,12.50%,DA_like_neurons 11; Oligodendrocyte_progenitor_cells 12; Astrocytes 15
CAPG,1 out of 24,4.17%,Microglia 1
CAPN1,0 out of 24,0.00%,
CAPN10,1 out of 24,4.17%,Astrocytes_microglia 23
CAPN15,0 out of 24,0.00%,
CAPN2,3 out of 24,12.50%,Astrocytes_microglia 23; Oligodendrocytes 16; Oligodendrocytes 0
CAPN7,2 out of 24,8.33%,Astrocytes 8; Oligodendrocyte_progenitor_cells 7
CAPNS1,1 out of 24,4.17%,Oligodendrocytes 10
CAPRIN1,2 out of 24,8.33%,Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0
CAPRIN2,6 out of 24,25.00%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Astrocytes 5; Astrocytes 4; Astrocytes 15
CAPS,1 out of 24,4.17%,Astrocytes_microglia 23
CAPS2,8 out of 24,33.33%,Astrocytes 8; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7
CAPZA1,1 out of 24,4.17%,GABA_like_neurons 14
CAPZA2,0 out of 24,0.00%,
CAPZB,0 out of 24,0.00%,
CARD11,0 out of 24,0.00%,
CARD19,0 out of 24,0.00%,
CARD8,2 out of 24,8.33%,Oligodendrocytes 20; Microglia 1
CARF,3 out of 24,12.50%,Astrocytes 4; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0
CARHSP1,0 out of 24,0.00%,
CARM1,2 out of 24,8.33%,Microglia 19; Connective_tissue_cells 21
