Gene,Statistic,Percentage,Cell Types
ANKMY1,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; Endothelial_cells 9
ANKMY2,14 out of 24,58.33%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; DA_neurons 6; Connective_tissue_cells 21
ANKRA2,13 out of 24,54.17%,Astrocytes_microglia 23; T_cells 18; GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Endothelial_cells 9; Connective_tissue_cells 21
ANKRD10,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ANKRD11,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
ANKRD12,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
ANKRD13A,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; DA_like_neurons 11; Endothelial_cells 9
ANKRD13C,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ANKRD13D,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ANKRD16,18 out of 24,75.00%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocytes 0; Oligodendrocytes 2; DA_like_neurons 11; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7; Connective_tissue_cells 21
ANKRD17,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
ANKRD18A,10 out of 24,41.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocytes 2; Oligodendrocytes 0; Oligodendrocytes 3; DA_like_neurons 11
ANKRD18B,3 out of 24,12.50%,GABA_neurons_expressing_GLU_receptors 22; GABA_like_neurons 14; GLU_like_neurons 17
ANKRD20A8P,1 out of 24,4.17%,GABA_like_neurons 14
ANKRD22,2 out of 24,8.33%,Astrocytes_microglia 23; Microglia 1
ANKRD23,18 out of 24,75.00%,Astrocytes_microglia 23; T_cells 18; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocytes 0; Oligodendrocytes 2; DA_like_neurons 11; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7
ANKRD24,3 out of 24,12.50%,GABA_neurons_expressing_GLU_receptors 22; Astrocytes_microglia 23; GABA_like_neurons 14
ANKRD26,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ANKRD27,18 out of 24,75.00%,Astrocytes_microglia 23; Oligodendrocytes 0; T_cells 18; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Astrocytes 4; Oligodendrocytes 16; GLU_like_neurons 17; Oligodendrocytes 2; Astrocytes 15; Microglia 19; Oligodendrocytes 3; DA_like_neurons 11; Microglia 1; Connective_tissue_cells 21
ANKRD28,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ANKRD29,8 out of 24,33.33%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
ANKRD30B,3 out of 24,12.50%,DA_like_neurons 11; GABA_like_neurons 14; GLU_like_neurons 17
ANKRD30BL,6 out of 24,25.00%,GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11
ANKRD33B,2 out of 24,8.33%,GABA_neurons_expressing_GLU_receptors 22; Endothelial_cells 9
ANKRD34B,2 out of 24,8.33%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14
ANKRD34C-AS1,4 out of 24,16.67%,GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; GABA_like_neurons 14; GLU_like_neurons 17
ANKRD35,2 out of 24,8.33%,DA_like_neurons 11; GABA_like_neurons 14
ANKRD36,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ANKRD36B,18 out of 24,75.00%,Astrocytes_microglia 23; T_cells 18; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocytes 0; Oligodendrocytes 2; DA_like_neurons 11; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7
ANKRD36C,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ANKRD37,1 out of 24,4.17%,Endothelial_cells 9
ANKRD40,9 out of 24,37.50%,Astrocytes_microglia 23; GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Oligodendrocytes 0; Endothelial_cells 9
ANKRD42,6 out of 24,25.00%,Astrocytes_microglia 23; GABA_like_neurons 14; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; DA_like_neurons 11; Connective_tissue_cells 21
ANKRD44,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ANKRD46,21 out of 24,87.50%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
ANKRD49,1 out of 24,4.17%,T_cells 18
ANKRD50,9 out of 24,37.50%,GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6; Connective_tissue_cells 21
ANKRD52,12 out of 24,50.00%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; Astrocytes 15; DA_like_neurons 11; DA_neurons 6; Connective_tissue_cells 21
ANKRD54,2 out of 24,8.33%,Astrocytes_microglia 23; GABA_like_neurons 14
ANKRD55,6 out of 24,25.00%,GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11
ANKRD6,15 out of 24,62.50%,Astrocytes_microglia 23; T_cells 18; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; Astrocytes 15; Microglia 19; DA_like_neurons 11; Microglia 1; Endothelial_cells 9; Connective_tissue_cells 21
ANKRD62,1 out of 24,4.17%,GLU_like_neurons 17
ANKRD7,4 out of 24,16.67%,GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; GABA_like_neurons 14; GLU_like_neurons 17
ANKRD9,5 out of 24,20.83%,Astrocytes_microglia 23; Astrocytes 8; Astrocytes 5; Astrocytes 4; Astrocytes 15
ANKS1A,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9
ANKS1B,22 out of 24,91.67%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
ANKS3,18 out of 24,75.00%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocytes 0; Oligodendrocytes 2; DA_like_neurons 11; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7; Connective_tissue_cells 21
ANKS6,18 out of 24,75.00%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocytes 0; Oligodendrocytes 2; DA_like_neurons 11; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7; Connective_tissue_cells 21
ANKUB1,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11
ANKZF1,9 out of 24,37.50%,T_cells 18; GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocytes 2; Oligodendrocytes 3; Oligodendrocytes 0
ANLN,11 out of 24,45.83%,Astrocytes_microglia 23; Astrocytes 8; Oligodendrocytes 20; Oligodendrocytes 10; Astrocytes 5; Astrocytes 4; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Astrocytes 15; Oligodendrocytes 0
ANO10,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
ANO2,2 out of 24,8.33%,Endothelial_cells 9; Connective_tissue_cells 21
ANO3,4 out of 24,16.67%,Oligodendrocyte_progenitor_cells 12; GABA_like_neurons 14; GLU_like_neurons 17; Oligodendrocyte_progenitor_cells 7
ANO4,12 out of 24,50.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocytes 2; Oligodendrocytes 0; Oligodendrocytes 3; DA_like_neurons 11; Oligodendrocyte_progenitor_cells 7
ANO5,13 out of 24,54.17%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; DA_neurons 6
ANO6,16 out of 24,66.67%,Astrocytes_microglia 23; T_cells 18; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Microglia 19; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; Microglia 1; Endothelial_cells 9; Connective_tissue_cells 21
ANO8,7 out of 24,29.17%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15
ANO9,1 out of 24,4.17%,T_cells 18
ANOS1,10 out of 24,41.67%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocyte_progenitor_cells 7; Astrocytes 15; Microglia 19; Microglia 1
ANP32A,20 out of 24,83.33%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; Endothelial_cells 9
ANP32B,14 out of 24,58.33%,Astrocytes_microglia 23; Oligodendrocytes 0; T_cells 18; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7; Microglia 19; Microglia 1; Endothelial_cells 9; Connective_tissue_cells 21
ANP32E,7 out of 24,29.17%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; T_cells 18; GABA_like_neurons 14; GABA_neurons_expressing_GLU_receptors 22; Endothelial_cells 9; DA_neurons 6
ANTXR1,13 out of 24,54.17%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; Endothelial_cells 9; Connective_tissue_cells 21
ANTXR2,11 out of 24,45.83%,Astrocytes_microglia 23; T_cells 18; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocyte_progenitor_cells 7; Astrocytes 15; DA_like_neurons 11; Endothelial_cells 9; Connective_tissue_cells 21
ANXA1,3 out of 24,12.50%,T_cells 18; Endothelial_cells 9; Connective_tissue_cells 21
ANXA11,11 out of 24,45.83%,Astrocytes_microglia 23; T_cells 18; Astrocytes 8; Astrocytes 5; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; Astrocytes 15; Microglia 19; Microglia 1; Endothelial_cells 9; Connective_tissue_cells 21
ANXA2,4 out of 24,16.67%,Astrocytes_microglia 23; Endothelial_cells 9; T_cells 18; Connective_tissue_cells 21
ANXA3,1 out of 24,4.17%,Endothelial_cells 9
ANXA4,19 out of 24,79.17%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; Endothelial_cells 9
ANXA5,19 out of 24,79.17%,Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; Endothelial_cells 9
ANXA6,16 out of 24,66.67%,Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; T_cells 18; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6; Connective_tissue_cells 21
ANXA7,24 out of 24,100.00%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 3; Astrocytes 15; Microglia 1; Astrocytes_microglia 23; GABA_neurons_expressing_GABA_receptors 13; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Connective_tissue_cells 21; T_cells 18; Oligodendrocytes 16; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0; Astrocytes 8; Oligodendrocytes 10; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; DA_like_neurons 11; Endothelial_cells 9; DA_neurons 6
AOAH,12 out of 24,50.00%,Astrocytes_microglia 23; Oligodendrocytes 0; T_cells 18; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocytes 16; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Oligodendrocytes 2; Microglia 19; Oligodendrocytes 3; Microglia 1
AOX1,1 out of 24,4.17%,Connective_tissue_cells 21
AP000282.1,8 out of 24,33.33%,Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0
AP000311.1,9 out of 24,37.50%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; Oligodendrocyte_progenitor_cells 7; Astrocytes 15; Connective_tissue_cells 21
AP000317.1,5 out of 24,20.83%,GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Astrocytes 4; Astrocytes 15
AP000446.1,7 out of 24,29.17%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Astrocytes 4; Astrocytes 15; DA_like_neurons 11
AP000462.1,2 out of 24,8.33%,Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7
AP000487.1,2 out of 24,8.33%,GABA_neurons_expressing_GLU_receptors 22; GABA_like_neurons 14
AP000721.2,9 out of 24,37.50%,GABA_like_neurons 14; Oligodendrocytes 20; Oligodendrocytes 10; Oligodendrocyte_progenitor_cells 12; Oligodendrocytes 16; Oligodendrocytes 2; Oligodendrocytes 3; Oligodendrocyte_progenitor_cells 7; Oligodendrocytes 0
AP000787.1,6 out of 24,25.00%,Astrocytes_microglia 23; GABA_like_neurons 14; GLU_like_neurons 17; DA_like_neurons 11; Endothelial_cells 9; Connective_tissue_cells 21
AP000943.3,2 out of 24,8.33%,GABA_like_neurons 14; Connective_tissue_cells 21
AP001011.1,5 out of 24,20.83%,Astrocytes_microglia 23; T_cells 18; Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7; Endothelial_cells 9
AP001025.1,2 out of 24,8.33%,Oligodendrocyte_progenitor_cells 12; Oligodendrocyte_progenitor_cells 7
AP001347.1,11 out of 24,45.83%,Astrocytes_microglia 23; GABA_like_neurons 14; Astrocytes 8; Astrocytes 5; Oligodendrocyte_progenitor_cells 12; Astrocytes 4; GABA_neurons_expressing_GLU_receptors 22; GLU_like_neurons 17; Astrocytes 15; Oligodendrocyte_progenitor_cells 7; Connective_tissue_cells 21
AP001453.1,1 out of 24,4.17%,Astrocytes_microglia 23
AP001825.1,5 out of 24,20.83%,GABA_like_neurons 14; Oligodendrocyte_progenitor_cells 12; GABA_neurons_expressing_GLU_receptors 22; Oligodendrocyte_progenitor_cells 7; DA_like_neurons 11
